12.84	-90.78	0.0
-29.28	-81.25	0.0
-53.99	-125.12	0.0
-0.10	-154.98	0.0
-121.32	-3.68	0.0
-83.25	-44.26	0.0
-161.38	-34.07	0.0
-133.88	-81.31	0.0
76.14	79.31	0.0
152.35	60.44	0.0
110.83	31.33	0.0
130.88	105.86	0.0
77.63	-114.43	0.0
120.95	-86.24	0.0
41.87	-72.91	0.0
81.13	-35.61	0.0
-57.46	125.07	0.0
0.10	112.14	0.0
-5.30	63.44	0.0
-49.93	55.55	0.0
462.22	106.33	0.0
478.05	30.78	0.0
525.42	44.37	0.0
513.12	109.06	0.0
-188.11	-420.26	0.0
-138.16	-372.49	0.0
-101.12	-418.56	0.0
-152.27	-459.11	0.0
-647.88	-254.65	0.0
-710.39	-312.13	0.0
-673.64	-340.07	0.0
-623.74	-298.66	0.0
-458.37	330.89	0.0
-436.60	253.78	0.0
-485.96	248.10	0.0
-496.71	308.90	0.0
-192.97	365.33	0.0
-240.05	304.57	0.0
-155.08	317.67	0.0
-201.27	275.63	0.0
